iso3,year,unemployment_youth
LSO,1994,21.584
LBR,1994,3.404
LBY,1994,45.54
LTU,1994,24.477
LUX,1994,7.912
MAC,1994,3.994
MDG,1994,8.612
MWI,1994,7.123
MYS,1994,11.692
MDV,1994,1.853
MLI,1994,2.208
MLT,1994,11.67
MRT,1994,14.768
MUS,1994,23.501
MEX,1994,7.363
MDA,1994,10.793
MNG,1994,8.681
MNE,1994,55.237
MAR,1994,20.329
MOZ,1994,5.975
MMR,1994,1.371
NAM,1994,35.57
NPL,1994,18.968
NLD,1994,11.335
NCL,1994,44.842
NZL,1994,15.48
NIC,1994,11.8
NER,1994,3.133
NGA,1994,9.892
MKD,1994,54.219
NOR,1994,12.357
OMN,1994,13.564
PAK,1994,0.973
PAN,1994,13.47
PNG,1994,4.693
PRY,1994,8.15
PER,1994,5.729
PHL,1994,9.511
POL,1994,32.018
PRT,1994,14.656
PRI,1994,27.042
QAT,1994,2.601
ROU,1994,22.467
RUS,1994,16.282
RWA,1994,16.564
WSM,1994,6.271
STP,1994,21.029
SAU,1994,29.207
SEN,1994,3.007
SRB,1994,29.783
SLE,1994,7.783
SGP,1994,7.553
SVK,1994,27.297
SVN,1994,21.447
SLB,1994,3.2
SOM,1994,35.987
ZAF,1994,35.984
SSD,1994,18.313
ESP,1994,44.779
LKA,1994,34.649
LCA,1994,27.419
VCT,1994,37.14
SDN,1994,27.012
SUR,1994,27.994
SWE,1994,22.264
CHE,1994,5.558
SYR,1994,13.671
TJK,1994,18.903
TZA,1994,6.576
THA,1994,2.748
TLS,1994,9.802
TGO,1994,7.233
TON,1994,4.278
TTO,1994,32.06
TUN,1994,30.72
TUR,1994,16.042
TKM,1994,9.179
UGA,1994,5.141
UKR,1994,3.738
ARE,1994,4.249
GBR,1994,16.351
USA,1994,12.506
URY,1994,24.409
UZB,1994,15.41
VUT,1994,13.844
VEN,1994,14.115
VNM,1994,4.001
VIR,1994,25.999
PSE,1994,15.207
YEM,1994,16.912
ZMB,1994,33.249
