iso3,year,disaster_deaths_per_100k
BDI,2011,0.12690708
BDI,1989,0.22330958
BDI,2002,0
BDI,2007,0.062935725
BDI,2014,0.9147283
BDI,2015,0.4194962
BDI,2016,0.1650872
BDI,2018,0
BDI,2019,0.51369123
BDI,2020,0.040915763
BDI,2021,0
BDI,2023,0.15862754
BDI,2024,0
BDI,2017,0.053784683
KHM,1994,4.75727
KHM,1995,0
KHM,1996,0.52760476
KHM,2001,0.45387504
KHM,2002,0.23085895
KHM,2005,0.12078582
KHM,2016,0
KHM,1991,1.079988
KHM,1999,0.058828425
KHM,2000,2.8633094
KHM,2004,0
KHM,2006,0.037098095
KHM,2007,0.014582789
KHM,2010,0.0556966
KHM,2011,1.6948112
KHM,2012,0.09468
KHM,2013,1.3333608
KHM,2014,0.2958421
KHM,2015,0
KHM,2018,0
KHM,2019,0.07403867
KHM,2021,0.006028079
KHM,2022,0.184877596
KHM,1997,0.21869247
KHM,2009,0.13422115
KHM,2020,0.26834399
KHM,2023,0
CMR,1990,0
CMR,1991,0.016981214
CMR,2001,0.19363263
CMR,2005,0.011577307
CMR,2012,0.11886262
CMR,2022,0.075229604
CMR,1994,0.046696737
CMR,1999,0.16327669
CMR,2000,0.019878611
CMR,2007,0.04383113
CMR,2008,0.04793077
CMR,2010,0.06539879
CMR,2013,0
CMR,2014,0
CMR,2015,0.017381744
CMR,2017,0.012298519
CMR,2020,0
CMR,2003,0.12229182
CMR,2019,0.20944567
CMR,2023,0.09424974
CAN,1990,0.028925553
CAN,1993,0
CAN,1995,0.006828402
CAN,1996,0.033790797
CAN,1997,0.01673206
CAN,1998,0.10283692
CAN,2002,0
CAN,2003,0.022138268
CAN,2004,0
CAN,2005,0.012416224
CAN,2006,0.003073909
CAN,2007,0.018257916
CAN,2008,0
CAN,2009,0.005953458
CAN,2011,0.023307621
CAN,2012,0
CAN,2013,0.039927336
CAN,2014,0
CAN,2016,0
CAN,2017,0.0054713060000000004
CAN,2018,0.18900907
CAN,2019,0.005330123
CAN,2020,0.002639309
CAN,2021,2.154369714
CAN,2022,0.04420829
CAN,2023,0.025785631
CAN,1989,0.003670478
CAN,1991,0
CAN,1994,0
CAN,1999,0.023026485
CAN,2000,0.0358501
CAN,2001,0.035480704
CAN,2010,0
CAN,1992,0
CAN,2015,0
CPV,1992,0
CPV,1998,0
CPV,2002,0
CPV,2017,0
CPV,2022,0
CPV,2009,0.5817979
CPV,2020,0.1716308
CPV,2015,1.6299357
CPV,1995,0
CPV,2014,0
CYM,2001,0
CYM,2002,0
CYM,2004,4.413939
CYM,2008,0
CAF,2022,0.28678215
CAF,1995,0
CAF,1996,0.20811184
CAF,1998,0
CAF,1999,0
CAF,2003,0
CAF,2004,0.07290142
CAF,2005,0.023759488
CAF,2007,0.022854103
CAF,2008,0
CAF,2009,0.087631973
CAF,2010,0.06437677
CAF,2011,0.021132547
CAF,2013,0
CAF,2017,0
CAF,2019,0
CAF,2021,0
CAF,2001,0.078027874
CAF,2012,0
CAF,2015,0.020749725
CAF,2023,0
CAF,2002,0.02544106
TCD,1993,0
TCD,1997,0
TCD,2001,1.171124
TCD,2009,0.05219144
TCD,2010,0.20176996
TCD,2012,0.15680234
TCD,2013,0
TCD,2017,0
TCD,2022,0.1241303
TCD,1991,0.6454354
TCD,1995,0.029032372
TCD,1998,0
TCD,1999,0
TCD,2006,0.5016584
TCD,2007,0.2704533
TCD,2008,0
TCD,2019,0.32244328
TCD,2020,0.018023748
TCD,2021,0.18626587
CHL,1991,1.0396738
CHL,1989,0.15995581
CHL,1990,0
CHL,1993,0.82152321
CHL,1995,0.228899643
CHL,1997,0.297110818
CHL,2000,0.10422228
CHL,2001,0.0386499
CHL,2002,0.121066935
CHL,2004,0.01872897
CHL,2005,0.377117858
CHL,2006,0.11019572
CHL,2008,0.054016866
CHL,2012,0.051897814
CHL,2014,0.101769045
CHL,2015,1.141570297
CHL,2016,0.06635744
CHL,2017,0.228651286
CHL,2019,0.042017946
CHL,2021,0
CHL,2023,0.168113563
CHL,2007,0.109120388
CHL,2010,3.3050723
CHL,1992,0
CHL,2011,0
CHL,2013,0
CHL,1999,0
CHL,2003,0
CHL,2022,0.015303206
CHL,2024,2.1923978
CHN,1991,0.368776992
CHN,1992,0.122401053
CHN,1993,0.130868638
CHN,1994,0.265305676
CHN,1995,0.199976285
CHN,1997,0.131927462
CHN,1999,0.13756208
CHN,2000,0.052448422
CHN,2001,0.072442157
CHN,2002,0.111325703
CHN,2003,0.084725162
CHN,2005,0.078167657
CHN,2006,0.160613929
CHN,2008,6.64954017
CHN,2009,0.043461195
CHN,2010,0.533010395
CHN,2011,0.054970344
CHN,2013,0.101373421
CHN,2014,0.113702842
CHN,2015,0.035875329
CHN,2016,0.091804657
CHN,2017,0.036446769
CHN,2021,0.031909816
CHN,2022,0.019847289
CHN,2023,0.027074964
CHN,1989,0.27864589
CHN,1990,0.114760786
CHN,1996,0.456892061
CHN,1998,0.360993703
CHN,2004,0.062229299
CHN,2007,0.087021458
CHN,2012,0.058687476
CHN,2018,0.024981133
CHN,2019,0.040158551
CHN,2020,0.032492828
CHN,2024,0.003788998
COL,1998,0.27408513
COL,2015,0.220714347
COL,2016,0.020996952
COL,2024,0
COL,1989,0.050120406
COL,1990,0.030673534
COL,1993,0.491120381
COL,1994,0.8726335
COL,1995,0.3919922
COL,1996,0.046406784
COL,1997,0.005363088
COL,1999,3.30698122
COL,2000,0.293254111
COL,2001,0.24850723
COL,2002,0.3337119
COL,2003,0.2800937
COL,2004,0.27852296
COL,2005,0.4263287
COL,2006,0.35068923
COL,2007,0.5033876
COL,2008,0.33093451
COL,2009,0.13765427
COL,2010,1.20715536
COL,2011,0.87400055
COL,2012,0.16818683
COL,2013,0.015139087
COL,2014,0.188525864
COL,2017,0.79418147
COL,2018,0.052762985
COL,2019,0.167372676
COL,2020,0.12958796
COL,2021,0.081527186
COL,2022,0.30072853
COL,2023,0.061437837
COL,1991,0.321585626
COL,1992,0.03241105
COM,2009,0.31128502
COM,2012,0.5843135
COM,2014,0
COM,1989,0
COM,2003,0
COM,2019,1.011387
COM,1991,0
COM,2005,0.16872199
COM,2006,0
COG,1994,0
COG,1998,0
COG,1999,0.06629847
COG,2002,0
COG,2003,0
COG,2005,0.02722685
COG,2006,0.157343
COG,2007,0
COG,2012,0.403118
COG,2019,0
COG,2020,0.35074288
COG,2021,0.4112537
COG,2022,0
COG,2023,0.16375004
COG,2024,0.11209771
COK,1990,5.831924
COK,1997,107.917755
COK,2001,0
COK,2005,0
COK,2010,0
CRI,1994,0.05732042
CRI,1998,0.20934583
CRI,2015,0
CRI,2019,0
CRI,1991,1.481747134
CRI,1993,0.352384
CRI,1996,1.64103244
CRI,1999,0.2306846
CRI,2001,0
CRI,2002,0.24256372
CRI,2003,0.071622821
CRI,2004,0.235139038
CRI,2005,0.139021021
CRI,2007,0.4279257
CRI,2008,0.24434014
CRI,2010,0.5841311
CRI,2011,0.08547142
CRI,2012,0.168897774
CRI,2018,0.019838365
CRI,2021,0.05820768
CRI,1990,0.031663034
CRI,2009,0.6793581
CRI,1995,0
CRI,2016,0.18199448
CRI,2017,0.26032025
CRI,2020,0
CRI,2022,0
CRI,1992,0
CRI,2000,0.17591524
CIV,1989,0
CIV,1996,0.18904938
CIV,2007,0
CIV,2008,0.02963775
CIV,2010,0.08522711
CIV,2014,0.20003867
CIV,2015,0.06780598
CIV,2016,0.08259814
CIV,2017,0.060366973
CIV,2018,0.07844986
CIV,2019,0.045893412
CIV,2020,0.089512855
CIV,2022,0.046163876
CIV,2009,0.13057506
HRV,2003,17.663643
HRV,2000,0.90140837
HRV,2001,0
HRV,2005,0.15802471
HRV,2006,0
HRV,2010,0
HRV,2012,0.1616034
