iso3,year,liberal_dem
CMR,2007,0.157
CMR,2008,0.158
CMR,2009,0.159
CMR,2010,0.158
CMR,2011,0.159
CMR,2012,0.164
CMR,2013,0.153
CMR,2014,0.157
CMR,2015,0.154
CMR,2016,0.143
CMR,2017,0.137
CMR,2018,0.127
CMR,2019,0.122
CMR,2020,0.13
COD,1990,0.053
COD,1991,0.057
COD,1992,0.056
COD,1993,0.037
COD,1994,0.037
COD,1995,0.038
COD,1996,0.038
COD,1997,0.027
COD,1998,0.037
COD,1999,0.042
COD,2000,0.054
COD,2001,0.056
COD,2002,0.057
COD,2003,0.087
COD,2004,0.1
COD,2005,0.102
COD,2006,0.121
COD,2007,0.153
COD,2008,0.153
COD,2009,0.158
COD,2010,0.156
COD,2011,0.154
COD,2012,0.145
COD,2013,0.134
COD,2014,0.135
COD,2015,0.128
COD,2016,0.126
COD,2017,0.12
COD,2018,0.125
COD,2019,0.145
COD,2020,0.155
COG,1990,0.067
COG,1991,0.176
COG,1992,0.197
COG,1993,0.3
COG,1994,0.29
COG,1995,0.292
COG,1996,0.3
COG,1997,0.064
COG,1998,0.075
COG,1999,0.073
COG,2000,0.073
COG,2001,0.072
COG,2002,0.083
COG,2003,0.094
COG,2004,0.094
COG,2005,0.094
COG,2006,0.094
COG,2007,0.094
COG,2008,0.093
COG,2009,0.093
COG,2010,0.093
COG,2011,0.093
COG,2012,0.092
COG,2013,0.1
COG,2014,0.1
COG,2015,0.099
COG,2016,0.097
COG,2017,0.098
COG,2018,0.106
COG,2019,0.095
COG,2020,0.114
COL,1990,0.323
COL,1991,0.396
COL,1992,0.43
COL,1993,0.43
COL,1994,0.431
COL,1995,0.433
COL,1996,0.431
COL,1997,0.432
COL,1998,0.425
COL,1999,0.42
COL,2000,0.428
COL,2001,0.425
COL,2002,0.413
COL,2003,0.423
COL,2004,0.426
COL,2005,0.43
COL,2006,0.448
COL,2007,0.46
COL,2008,0.461
COL,2009,0.466
COL,2010,0.497
COL,2011,0.538
COL,2012,0.537
COL,2013,0.536
COL,2014,0.546
COL,2015,0.551
COL,2016,0.548
COL,2017,0.547
COL,2018,0.537
COL,2019,0.507
COL,2020,0.491
COM,1990,0.187
COM,1991,0.205
COM,1992,0.209
COM,1993,0.161
COM,1994,0.203
COM,1995,0.197
COM,1996,0.143
COM,1997,0.218
COM,1998,0.218
COM,1999,0.14
COM,2000,0.103
COM,2001,0.094
COM,2002,0.138
COM,2003,0.164
COM,2004,0.229
COM,2005,0.256
COM,2006,0.252
COM,2007,0.258
COM,2008,0.257
COM,2009,0.251
COM,2010,0.252
COM,2011,0.269
COM,2012,0.269
COM,2013,0.297
COM,2014,0.3
COM,2015,0.25
COM,2016,0.245
COM,2017,0.191
COM,2018,0.168
COM,2019,0.115
COM,2020,0.109
CPV,1990,0.287
CPV,1991,0.579
CPV,1992,0.644
CPV,1993,0.644
CPV,1994,0.644
CPV,1995,0.653
CPV,1996,0.691
CPV,1997,0.69
CPV,1998,0.69
CPV,1999,0.69
CPV,2000,0.679
CPV,2001,0.675
CPV,2002,0.682
CPV,2003,0.682
CPV,2004,0.682
CPV,2005,0.683
CPV,2006,0.693
CPV,2007,0.697
CPV,2008,0.699
CPV,2009,0.699
CPV,2010,0.697
CPV,2011,0.704
CPV,2012,0.705
CPV,2013,0.715
CPV,2014,0.715
CPV,2015,0.712
CPV,2016,0.716
CPV,2017,0.707
CPV,2018,0.7
CPV,2019,0.704
CPV,2020,0.704
CRI,1990,0.838
CRI,1991,0.843
CRI,1992,0.843
CRI,1993,0.843
CRI,1994,0.843
CRI,1995,0.843
CRI,1996,0.844
CRI,1997,0.842
CRI,1998,0.846
CRI,1999,0.846
CRI,2000,0.844
CRI,2001,0.844
CRI,2002,0.848
CRI,2003,0.848
CRI,2004,0.846
CRI,2005,0.845
CRI,2006,0.853
CRI,2007,0.854
CRI,2008,0.854
CRI,2009,0.855
CRI,2010,0.858
CRI,2011,0.858
CRI,2012,0.859
CRI,2013,0.854
CRI,2014,0.856
CRI,2015,0.856
CRI,2016,0.855
CRI,2017,0.852
CRI,2018,0.837
CRI,2019,0.844
CRI,2020,0.847
CUB,1990,0.034
CUB,1991,0.034
CUB,1992,0.035
CUB,1993,0.039
CUB,1994,0.039
CUB,1995,0.039
CUB,1996,0.04
CUB,1997,0.041
CUB,1998,0.042
CUB,1999,0.041
CUB,2000,0.041
CUB,2001,0.044
CUB,2002,0.044
CUB,2003,0.043
CUB,2004,0.043
CUB,2005,0.044
CUB,2006,0.043
CUB,2007,0.044
CUB,2008,0.042
CUB,2009,0.051
CUB,2010,0.052
CUB,2011,0.053
CUB,2012,0.053
CUB,2013,0.059
CUB,2014,0.059
CUB,2015,0.058
CUB,2016,0.058
CUB,2017,0.06
CUB,2018,0.062
CUB,2019,0.063
CUB,2020,0.061
CYP,1990,0.614
CYP,1991,0.627
CYP,1992,0.632
CYP,1993,0.635
CYP,1994,0.637
CYP,1995,0.635
CYP,1996,0.635
CYP,1997,0.635
CYP,1998,0.633
CYP,1999,0.638
CYP,2000,0.672
CYP,2001,0.68
CYP,2002,0.679
CYP,2003,0.669
CYP,2004,0.708
CYP,2005,0.706
CYP,2006,0.714
CYP,2007,0.73
CYP,2008,0.735
CYP,2009,0.732
CYP,2010,0.739
CYP,2011,0.739
CYP,2012,0.734
CYP,2013,0.738
CYP,2014,0.736
CYP,2015,0.742
CYP,2016,0.741
CYP,2017,0.731
CYP,2018,0.725
CYP,2019,0.715
CYP,2020,0.694
CZE,1990,0.717
CZE,1991,0.804
CZE,1992,0.812
CZE,1993,0.826
CZE,1994,0.826
CZE,1995,0.826
CZE,1996,0.826
CZE,1997,0.826
CZE,1998,0.816
CZE,1999,0.808
CZE,2000,0.806
CZE,2001,0.806
CZE,2002,0.814
CZE,2003,0.821
CZE,2004,0.823
CZE,2005,0.825
CZE,2006,0.829
CZE,2007,0.83
CZE,2008,0.829
CZE,2009,0.824
CZE,2010,0.813
CZE,2011,0.815
CZE,2012,0.823
CZE,2013,0.791
CZE,2014,0.775
CZE,2015,0.776
CZE,2016,0.773
CZE,2017,0.737
CZE,2018,0.719
CZE,2019,0.712
CZE,2020,0.721
DDR,1990,0.542
DEU,1990,0.858
DEU,1991,0.854
DEU,1992,0.854
DEU,1993,0.854
DEU,1994,0.855
DEU,1995,0.859
DEU,1996,0.859
DEU,1997,0.859
DEU,1998,0.859
DEU,1999,0.859
DEU,2000,0.859
DEU,2001,0.859
DEU,2002,0.859
DEU,2003,0.858
DEU,2004,0.858
DEU,2005,0.861
DEU,2006,0.872
DEU,2007,0.872
DEU,2008,0.872
DEU,2009,0.867
DEU,2010,0.865
DEU,2011,0.869
DEU,2012,0.869
DEU,2013,0.859
DEU,2014,0.852
DEU,2015,0.852
DEU,2016,0.851
DEU,2017,0.847
DEU,2018,0.836
DEU,2019,0.837
DEU,2020,0.827
DJI,1990,0.085
DJI,1991,0.082
DJI,1992,0.106
DJI,1993,0.111
DJI,1994,0.11
DJI,1995,0.11
DJI,1996,0.11
DJI,1997,0.111
DJI,1998,0.115
DJI,1999,0.115
DJI,2000,0.117
DJI,2001,0.118
DJI,2002,0.123
DJI,2003,0.121
DJI,2004,0.122
DJI,2005,0.118
DJI,2006,0.116
DJI,2007,0.116
DJI,2008,0.117
DJI,2009,0.116
DJI,2010,0.115
DJI,2011,0.116
DJI,2012,0.116
DJI,2013,0.115
DJI,2014,0.115
DJI,2015,0.115
DJI,2016,0.116
DJI,2017,0.112
DJI,2018,0.116
DJI,2019,0.121
DJI,2020,0.121
DNK,1990,0.879
DNK,1991,0.88
DNK,1992,0.88
DNK,1993,0.88
DNK,1994,0.88
DNK,1995,0.881
DNK,1996,0.881
DNK,1997,0.881
DNK,1998,0.879
DNK,1999,0.879
