iso3,year,gdp_growth
EMU,2020,-6.11006917047806
ECS,2020,-5.46244371164973
ECA,2020,0.321073682012468
TEC,2020,-1.46289536902678
EUU,2020,-5.65285689951504
FCS,2020,-6.35338636086037
HPC,2020,0.236251143945921
HIC,2020,-3.91466926056484
IBD,2020,-1.4012044301338
IBT,2020,-1.35543501142301
IDB,2020,-1.41574291758336
IDX,2020,-0.237845290364675
IDA,2020,-0.792994535212017
LTE,2020,0.199854474511071
LCN,2020,-6.64924567289502
LAC,2020,-6.54268614832709
TLA,2020,-6.56698628427809
LDC,2020,-0.0670758300886263
LMY,2020,-1.18968667762729
LIC,2020,0.344386863215163
LMC,2020,-3.58530943059181
MEA,2020,-4.0232993723727
MNA,2020,-4.40283790910399
TMN,2020,-4.33520481787215
MIC,2020,-1.21272096176955
NAC,2020,-2.43435524574377
INX,2020,..
OED,2020,-3.95334855901353
OSS,2020,-5.71729190315421
PSS,2020,-10.253068536481
PST,2020,-4.12374881367236
PRE,2020,-2.5612561140204
SST,2020,-6.48876819930217
SAS,2020,-4.58269312944782
TSA,2020,-4.58269312944778
SSF,2020,-1.96689482692715
SSA,2020,-1.95670713533906
TSS,2020,-1.96689482692716
UMC,2020,-0.594393798185649
WLD,2020,-2.93204334405924
,2020,
,2020,
,2020,
,2020,
,2020,
AFG,2021,-20.7388393676343
ALB,2021,8.90852781831182
DZA,2021,3.8
ASM,2021,-0.782472613458523
AND,2021,8.28719978108489
AGO,2021,1.19921052145153
ATG,2021,8.1917184618173
ARG,2021,10.7180099337095
ARM,2021,5.80000000065645
ABW,2021,27.6393569688502
AUS,2021,2.11183088925151
AUT,2021,4.23786673253257
AZE,2021,5.61645102853028
BHS,2021,15.4031489427848
BHR,2021,2.59040783827855
BGD,2021,6.93867912442445
BRB,2021,-1.18319712008605
BLR,2021,2.43886608142535
BEL,2021,6.92798360287613
BLZ,2021,17.8624478393742
BEN,2021,7.1554516457574
BMU,2021,5.41909484048358
BTN,2021,4.42136738945015
BOL,2021,6.11137269714146
BIH,2021,7.38996234012757
BWA,2021,11.9206365085117
BRA,2021,4.76260437908608
VGB,2021,..
BRN,2021,-1.59076260099606
BGR,2021,7.6617480742932
BFA,2021,6.93915524675779
BDI,2021,3.09999999870627
CPV,2021,7.03353010325927
KHM,2021,3.0263893638939
CMR,2021,3.33885747179505
CAN,2021,5.28695689105889
CYM,2021,4.90492954210123
CAF,2021,0.982919996264229
TCD,2021,-1.16918700397552
CHI,2021,15.455211303251
CHL,2021,11.3339570691911
CHN,2021,8.44846941687277
COL,2021,10.8011981904878
COM,2021,2.11219557695527
COD,2021,6.20015401075946
COG,2021,1.01507337977299
CRI,2021,7.9357622471191
CIV,2021,7.06332910217667
HRV,2021,13.0411434856638
CUB,2021,1.25369342501311
CUW,2021,4.2
CYP,2021,9.91131179221449
CZE,2021,3.55302130899085
DNK,2021,6.84452190183443
DJI,2021,4.52234774643702
DMA,2021,6.8905494167316
DOM,2021,12.2719902347896
ECU,2021,9.818417748417
EGY,2021,3.29064601202211
SLV,2021,11.9047617015957
GNQ,2021,0.860269956382069
ERI,2021,..
EST,2021,7.2493263542448
SWZ,2021,10.6836938787079
ETH,2021,5.64153071734657
FRO,2021,5.75555052732079
FJI,2021,-4.88103619598493
FIN,2021,2.83817960418034
FRA,2021,6.43520962104938
PYF,2021,2.09478896837454
GAB,2021,1.46795731508091
GMB,2021,5.25596879353259
GEO,2021,10.6442336580969
DEU,2021,3.16381994194575
GHA,2021,5.07646643533542
GIB,2021,..
GRC,2021,8.37994378358083
GRL,2021,1.29021048770599
GRD,2021,4.68747816934534
GUM,2021,2.0581832574708
GTM,2021,8.0024080363912
GIN,2021,3.90000000048747
GNB,2021,6.39995262427662
GUY,2021,20.0075297334354
HTI,2021,-1.79823988931486
HND,2021,12.5652843771279
HKG,2021,6.454396778722
HUN,2021,7.06122060972912
ISL,2021,5.1487154178929
IND,2021,9.68959249191211
IDN,2021,3.70288562827751
IRN,2021,4.71977773157164
IRQ,2021,1.50218070952037
IRL,2021,15.1252197949572
IMN,2021,3.83783666558899
ISR,2021,8.61199034846989
ITA,2021,8.3102399077017
JAM,2021,4.60142450033383
JPN,2021,2.55932023865617
JOR,2021,3.65564191030398
KAZ,2021,4.29999999729456
KEN,2021,7.59048947333467
KIR,2021,8.70967741935485
PRK,2021,..
KOR,2021,4.30473481906969
XKX,2021,10.7456560819583
KWT,2021,1.69762482979576
KGZ,2021,5.50700762671923
LAO,2021,2.52835100486102
LVA,2021,6.73173527824665
LBN,2021,-7.00123862514116
LSO,2021,1.85267852107842
LBR,2021,4.98671283481617
LBY,2021,153.492640693078
LIE,2021,..
LTU,2021,6.28471003860921
LUX,2021,7.16840198697749
MAC,2021,23.5355669383932
MDG,2021,5.73961573854336
MWI,2021,2.75140260887528
MYS,2021,3.29764100831838
MDV,2021,37.6871922873131
MLI,2021,3.05261356942125
MLT,2021,12.5139471706304
MHL,2021,1.11230090181571
MRT,2021,0.742715499632851
MUS,2021,3.40379866177662
MEX,2021,5.73920833768318
FSM,2021,2.8
MDA,2021,13.9299997889786
MCO,2021,21.8673711058481
MNG,2021,1.63676957736662
MNE,2021,13.0434642521552
MAR,2021,8.02098437000988
MOZ,2021,2.37743573747173
MMR,2021,-12.0163724829177
NAM,2021,3.60382919248703
NRU,2021,7.75193798449692
NPL,2021,4.838149614115
NLD,2021,6.19185710427116
NCL,2021,-2.09999999762849
NZL,2021,4.54624763852878
NIC,2021,10.3154484052751
NER,2021,1.38359636198477
NGA,2021,3.64718654072446
MKD,2021,4.51067949038222
MNP,2021,..
NOR,2021,3.90868677689417
OMN,2021,3.09227668737446
PAK,2021,6.51388575852702
PLW,2021,-14.1640511125218
PAN,2021,15.835765045402
PNG,2021,-0.780328729320829
PRY,2021,4.01673731780312
PER,2021,13.3552295093079
PHL,2021,5.71473313426225
POL,2021,6.93498038387065
PRT,2021,5.73743721854339
PRI,2021,0.385222719529239
QAT,2021,1.62684671918775
ROU,2021,5.70889455766321
RUS,2021,5.61429037578345
RWA,2021,10.8579671876279
WSM,2021,-7.07883094291508
SMR,2021,8.46307184428878
STP,2021,1.89929891337832
SAU,2021,5.07511034987979
SEN,2021,6.54400109937833
SRB,2021,7.72594777674031
SYC,2021,0.552281631207279
SLE,2021,4.10470008884118
SGP,2021,9.69076687082064
SXM,2021,4.57759677933345
SVK,2021,4.77122142450317
SVN,2021,8.22849988578498
SLB,2021,2.56434975416948
SOM,2021,3.31098923423325
ZAF,2021,4.70306206485731
SSD,2021,..
ESP,2021,6.40317361484541
LKA,2021,4.20748597719036
KNA,2021,0.479678356753311
LCA,2021,12.22991
MAF,2021,4.89999967133534
VCT,2021,0.75379707990075
SDN,2021,-1.8685204827207
SUR,2021,-2.43538583612838
SWE,2021,6.14702464708019
CHE,2021,5.39188804141473
SYR,2021,1.29973808951831
TJK,2021,9.39999955037523
TZA,2021,4.32138429480482
THA,2021,1.56818176501186
TLS,2021,5.31553743115596
TGO,2021,5.99087610392314
TON,2021,-2.66750617523127
TTO,2021,-1.03742621022469
TUN,2021,4.60518674330524
TUR,2021,11.4393847446421
TKM,2021,6.2
TCA,2021,9.02549747146406
TUV,2021,1.8041359113616
UGA,2021,3.53658034070898
UKR,2021,3.4456255827111
ARE,2021,4.35475529659919
GBR,2021,8.67490411442573
USA,2021,5.8002061284573
URY,2021,5.56189279343275
UZB,2021,7.40336813606621
VUT,2021,-1.55229489129462
VEN,2021,..
VNM,2021,2.55372852648131
VIR,2021,2.85420416559528
PSE,2021,7.01198227592003
YEM,2021,..
ZMB,2021,6.23492204726448
ZWE,2021,8.46801689759531
AFE,2021,4.49737998264359
AFW,2021,3.99485439730636
ARB,2021,5.11664702876513
CSS,2021,10.4440323505071
CEB,2021,6.43339870687696
EAR,2021,7.62136441675763
EAS,2021,6.22113626390231
EAP,2021,7.6037497078342
TEA,2021,7.60341969056822
EMU,2021,5.96333641598549
ECS,2021,6.52385192111227
ECA,2021,9.00036510298978
TEC,2021,7.38646816523473
EUU,2021,6.00872929242561
FCS,2021,4.56899423218869
HPC,2021,4.19513247848164
HIC,2021,5.58436815582274
IBD,2021,7.62848296591743
IBT,2021,7.3866592647515
IDB,2021,5.16429410899275
IDX,2021,3.78918249767899
IDA,2021,4.43321143726283
LTE,2021,7.44958400150686
LCN,2021,6.99679192745974
LAC,2021,6.8144664615359
TLA,2021,7.20083212845076
LDC,2021,2.77217553498012
LMY,2021,7.42454592562784
LIC,2021,2.06974668577082
LMC,2021,6.6513506094125
MEA,2021,5.57289085590358
MNA,2021,6.2212576875649
TMN,2021,6.21408909503336
MIC,2021,7.50621615842624
NAC,2021,5.76128554552649
INX,2021,..
OED,2021,5.71465206139676
OSS,2021,6.58600635011335
PSS,2021,-2.86796554332169
PST,2021,5.4462382045962
PRE,2021,3.15426000013311
SST,2021,6.78651457690746
SAS,2021,8.76382055037797
TSA,2021,8.76382055037797
SSF,2021,4.26493689249247
SSA,2021,4.26842091333799
TSS,2021,4.26493689249247
UMC,2021,7.72230187446712
WLD,2021,6.25985128447159
,2021,
,2021,
,2021,
,2021,
,2021,
AFG,2022,-6.24017199240269
ALB,2022,4.85640165227306
DZA,2022,3.60000000017391
ASM,2022,1.73501577287065
AND,2022,9.56379752740844
AGO,2022,3.04540300954928
ATG,2022,9.51639564359461
ARG,2022,4.95636996008236
ARM,2022,12.5999999997766
ABW,2022,10.45831735343
AUS,2022,4.26894639349867
AUT,2022,4.80643020178459
AZE,2022,4.71480236521231
BHS,2022,10.7820132001503
